2024-11-01T16:47:24.779Z - Registration error for Dens1231: Unknown column 'createdAt' in 'field list'
2024-11-01T16:48:22.037Z - Registration error for Dens1231: Unknown column 'createdAt' in 'field list'
2024-11-01T17:39:40.656Z - Registration error for Dens1231: Unknown column 'updatedAt' in 'field list'
2024-11-01T17:41:47.361Z - User registered: Dens1231
2024-11-01T17:42:12.654Z - User logged in: Dens1231
2024-11-01T17:42:42.029Z - User logged in: Dens1231
2024-11-01T17:47:58.467Z - User logged in: Dens1231
2024-11-01T17:49:47.358Z - User logged in: Dens1231
2024-11-01T17:49:56.366Z - User logged in: Dens1231
2024-11-01T17:50:10.048Z - User logged in: Dens1231
2024-11-01T17:50:46.368Z - User logged in: Dens1231
2024-11-01T18:00:59.033Z - User logged in: Dens1231
2024-11-01T18:10:03.703Z - User logged in: Dens1231
2024-11-01T18:12:23.713Z - User logged in: Dens1231
2024-11-01T18:12:45.295Z - User logged in: Dens1231
2024-11-01T18:14:26.210Z - User logged in: Dens1231
2024-11-01T18:14:32.499Z - User logged in: Dens1231
2024-11-01T18:17:22.596Z - User logged in: Dens1231
2024-11-01T18:17:33.872Z - User logged in: Dens1231
2024-11-01T18:20:36.029Z - User logged in: Dens1231
2024-11-01T18:21:21.298Z - User logged in: Dens1231
2024-11-01T18:22:09.811Z - User logged in: Dens1231
2024-11-01T18:27:27.294Z - User logged in: Dens1231
2024-11-01T18:28:13.462Z - User logged in: Dens1231
2024-11-01T18:28:49.865Z - User logged in: Dens1231
2024-11-01T18:36:01.455Z - User logged in: Dens1231
2024-11-01T18:39:24.885Z - User logged in: Dens1231
2024-11-01T18:39:55.690Z - User logged in: Dens1231
2024-11-01T18:41:37.516Z - User logged in: Dens1231
2024-11-01T18:42:01.562Z - User logged in: Dens1231
2024-11-01T18:43:08.474Z - User logged in: Dens1231
2024-11-01T18:47:12.182Z - User logged in: Dens1231
2024-11-01T19:05:45.509Z - User registered: Dens1231
2024-11-01T19:05:50.678Z - User logged in: Dens1231
2024-11-01T19:12:01.573Z - User logged in: Dens1231
2024-11-01T19:24:08.342Z - User logged in: Dens1231
2024-11-01T19:26:29.256Z - User logged in: Dens1231
2024-11-01T19:27:12.199Z - User logged in: Dens1231
